cluster_method,feature_radius,transition_radius,num_symbols,symbol_entropy_bits,symbol_entropy_normalized,prediction_accuracy,baseline_accuracy,transition_determinism,transition_entropy_bits,transition_entropy_normalized,novel_context_frac,num_contexts_train,target_entropy_bits,target_entropy_normalized,is_minimal_useful
kmeans,0,1,2,0.9310677274039911,0.9310677274039911,1.0,0.6504163240131579,1.0,0.0,0.0,0.0,8,0.9310677274039911,0.9310677274039911,True
kmeans,0,2,2,0.9310677274039911,0.9310677274039911,1.0,0.6497481496710527,1.0,0.0,0.0,0.0,32,0.9310677274039911,0.9310677274039911,False
kmeans,1,1,2,0.9310677274039911,0.9310677274039911,1.0,0.6558902138157895,1.0,0.0,0.0,0.0,8,0.9310677274039911,0.9310677274039911,False
kmeans,1,2,2,0.9310677274039911,0.9310677274039911,1.0,0.6544510690789473,1.0,0.0,0.0,0.0,32,0.9310677274039911,0.9310677274039911,False
kmeans,2,1,2,0.9310677274039911,0.9310677274039911,1.0,0.6558902138157895,1.0,0.0,0.0,0.0,8,0.9310677274039911,0.9310677274039911,False
kmeans,2,2,2,0.9310677274039911,0.9310677274039911,1.0,0.6544510690789473,1.0,0.0,0.0,0.0,32,0.9310677274039911,0.9310677274039911,False
kmeans,2,2,4,1.898760526081523,0.9493802630407615,0.9996402138157895,0.34428967927631576,0.9997237356085527,0.002908955125333718,0.001454477562666859,7.709703947367252e-05,105,1.8980524983051634,0.9490262491525817,False
gmm,0,2,4,1.8976953282839024,0.9488476641419512,0.9996402138157895,0.3458316200657895,0.9996916118421053,0.0023897722413727413,0.0011948861206863707,0.0,80,1.8975922433695465,0.9487961216847732,False
kmeans,0,2,4,1.8991075207707517,0.9495537603853759,0.9996145148026315,0.3429019325657895,0.9997173108552632,0.000827168185142773,0.0004135840925713865,5.139802631581869e-05,90,1.8986945756762355,0.9493472878381177,False
kmeans,1,2,4,1.8984319390381168,0.9492159695190584,0.9993575246710527,0.34428967927631576,0.9993446751644737,0.005867029506311741,0.0029335147531558705,0.0,70,1.8980053408474502,0.9490026704237251,False
kmeans,0,2,8,2.889870993303456,0.963290331101152,0.9991005345394737,0.23568564967105263,0.9991776315789473,0.005144196093603131,0.0017147320312010435,0.00012849506578949121,192,2.888168414647134,0.9627228048823779,False
kmeans,2,1,4,1.898760526081523,0.9493802630407615,0.9990491365131579,0.3428762335526316,0.9989848889802632,0.010024464461602742,0.005012232230801371,0.0,26,1.8980524983051634,0.9490262491525817,False
gmm,1,2,2,0.9833078746595514,0.9833078746595514,0.9989206414473685,0.5791529605263158,0.998779296875,0.0093174720692422,0.0093174720692422,0.0,27,0.9826421698926602,0.9826421698926602,False
gmm,1,2,4,1.8940663261900519,0.9470331630950259,0.9988692434210527,0.34554893092105265,0.999036287006579,0.002608020115902142,0.001304010057951071,0.0,68,1.8951027646420253,0.9475513823210127,False
kmeans,0,1,4,1.8991075207707517,0.9495537603853759,0.9986122532894737,0.34164268092105265,0.9987535978618421,0.008759072017531466,0.004379536008765733,0.0,24,1.8986945756762355,0.9493472878381177,False
gmm,0,2,8,2.893443015078855,0.964481005026285,0.9984837582236842,0.23309004934210525,0.9986957750822368,0.007026360232007183,0.0023421200773357277,0.0,134,2.8912449222424224,0.9637483074141407,False
gmm,1,1,2,0.9833078746595514,0.9833078746595514,0.9984837582236842,0.577379728618421,0.9984452097039473,0.011870363856239958,0.011870363856239958,0.0,8,0.9826421698926602,0.9826421698926602,False
gmm,0,1,4,1.8976953282839024,0.9488476641419512,0.9984323601973685,0.34444387335526316,0.9986122532894737,0.012612576786798427,0.0063062883933992136,0.0,20,1.8975922433695465,0.9487961216847732,False
kmeans,1,1,4,1.8984319390381168,0.9492159695190584,0.998303865131579,0.3428762335526316,0.9983873869243421,0.014536183819384365,0.007268091909692183,0.0,19,1.8980053408474502,0.9490026704237251,False
kmeans,1,2,8,2.890135272541874,0.9633784241806246,0.998278166118421,0.23406661184210525,0.9982010690789473,0.013913720921871,0.004637906973957,2.5699013157853834e-05,161,2.8883030875062983,0.9627676958354328,False
kmeans,2,2,8,2.890755273890802,0.963585091296934,0.9978412828947368,0.23455489309210525,0.9980276007401315,0.01547309573469112,0.005157698578230373,0.00020559210526316374,163,2.8887972872887104,0.9629324290962368,False
kmeans,0,1,8,2.889870993303456,0.963290331101152,0.9978412828947368,0.23522306743421054,0.9975521689967105,0.016557093590143578,0.005519031196714526,0.0,50,2.888168414647134,0.9627228048823779,False
gmm,1,2,8,2.8960677790479608,0.9653559263493202,0.9977384868421053,0.23046875,0.9979826274671053,0.009127056455357952,0.0030423521517859843,5.139802631581869e-05,122,2.8936658385454432,0.9645552795151477,False
gmm,2,2,8,2.895921261950296,0.9653070873167654,0.9976099917763158,0.22802734375,0.9975136204769737,0.009492971439772364,0.0031643238132574546,0.0,113,2.893864270233241,0.9646214234110803,False
gmm,1,1,4,1.8940663261900519,0.9470331630950259,0.9972759046052632,0.3441097861842105,0.9976228412828947,0.012153681112062862,0.006076840556031431,0.0,17,1.8951027646420253,0.9475513823210127,False
kmeans,1,1,8,2.890135272541874,0.9633784241806246,0.9966848273026315,0.23378392269736842,0.9969096936677632,0.025762289433735257,0.008587429811245086,0.0,44,2.8883030875062983,0.9627676958354328,False
gmm,2,2,2,0.995293715367047,0.995293715367047,0.9964535361842105,0.5381887335526315,0.9959074321546053,0.029877613782027485,0.029877613782027485,0.0,31,0.9952700886071242,0.9952700886071242,False
kmeans,2,1,8,2.890755273890802,0.963585091296934,0.9961708470394737,0.23419510690789475,0.9961965460526315,0.03163837670234187,0.010546125567447289,5.139802631581869e-05,48,2.8887972872887104,0.9629324290962368,False
gmm,0,1,8,2.893443015078855,0.964481005026285,0.995836759868421,0.23293585526315788,0.9961579975328947,0.023399037675612536,0.0077996792252041786,0.0,33,2.8912449222424224,0.9637483074141407,False
gmm,2,1,8,2.895921261950296,0.9653070873167654,0.9957853618421053,0.22340152138157895,0.9959010074013158,0.02612802650877004,0.008709342169590012,0.0,34,2.893864270233241,0.9646214234110803,False
gmm,2,1,2,0.995293715367047,0.995293715367047,0.994860197368421,0.537828947368421,0.9950850637335527,0.03618248867300574,0.03618248867300574,0.0,8,0.9952700886071242,0.9952700886071242,False
gmm,1,1,8,2.8960677790479608,0.9653559263493202,0.9948344983552632,0.2304173519736842,0.995496247944079,0.02824537708816723,0.009415125696055742,0.0,32,2.8936658385454432,0.9645552795151477,False
gmm,0,2,2,0.9261811770601711,0.9261811770601711,0.9947831003289473,0.6537571957236842,0.9946803042763158,0.04181316660247329,0.04181316660247329,0.0,13,0.9277035920766208,0.9277035920766208,False
gmm,0,1,2,0.9261811770601711,0.9261811770601711,0.9947574013157895,0.6543996710526315,0.9946867290296053,0.04267004531680885,0.04267004531680885,0.0,5,0.9277035920766208,0.9277035920766208,False
gmm,2,2,4,1.9927476682586376,0.9963738341293188,0.9942691200657895,0.29150390625,0.9936137952302632,0.04215567484604975,0.021077837423024874,5.139802631581869e-05,74,1.992463275810623,0.9962316379053116,False
gmm,2,1,4,1.9927476682586376,0.9963738341293188,0.9919819078947368,0.2889854029605263,0.9924059416118421,0.06025812440257011,0.030129062201285056,0.0,20,1.992463275810623,0.9962316379053116,False
gmm,2,0,2,0.995293715367047,0.995293715367047,0.8300267269736842,0.5413754111842105,0.8270649157072368,0.6409569860276704,0.6409569860276704,0.0,2,0.9952700886071242,0.9952700886071242,False
gmm,1,0,2,0.9833078746595514,0.9833078746595514,0.7716128700657895,0.5765059621710527,0.7743755139802632,0.7648468419290025,0.7648468419290025,0.0,2,0.9826421698926602,0.9826421698926602,False
kmeans,2,0,4,1.898760526081523,0.9493802630407615,0.7713044819078947,0.3452405427631579,0.7708483244243421,0.6403273081798195,0.32016365408990977,0.0,4,1.8980524983051634,0.9490262491525817,False
kmeans,1,0,8,2.890135272541874,0.9633784241806246,0.7711502878289473,0.23072574013157895,0.7690943667763158,0.6474854688945351,0.2158284896315117,0.0,8,2.8883030875062983,0.9627676958354328,False
kmeans,2,0,8,2.890755273890802,0.963585091296934,0.7705592105263158,0.23103412828947367,0.7686317845394737,0.6526200700707878,0.21754002335692926,0.0,8,2.8887972872887104,0.9629324290962368,False
kmeans,0,0,8,2.889870993303456,0.963290331101152,0.7704050164473685,0.23195929276315788,0.7682784231085527,0.6544086366946702,0.21813621223155674,0.0,8,2.888168414647134,0.9627228048823779,False
kmeans,1,0,4,1.8984319390381168,0.9492159695190584,0.7682206003289473,0.3452405427631579,0.7705078125,0.6439748762626278,0.3219874381313139,0.0,4,1.8980053408474502,0.9490026704237251,False
kmeans,0,0,4,1.8991075207707517,0.9495537603853759,0.7676295230263158,0.34392989309210525,0.7698974609375,0.6478652926253766,0.3239326463126883,0.0,4,1.8986945756762355,0.9493472878381177,False
gmm,0,0,8,2.893443015078855,0.964481005026285,0.7667814555921053,0.22990337171052633,0.7646548622532895,0.674786169490182,0.224928723163394,0.0,8,2.8912449222424224,0.9637483074141407,False
gmm,0,0,4,1.8976953282839024,0.9488476641419512,0.7655993009868421,0.34647409539473684,0.7677901418585527,0.6585164661002961,0.32925823305014806,0.0,4,1.8975922433695465,0.9487961216847732,False
gmm,1,0,8,2.8960677790479608,0.9653559263493202,0.7641858552631579,0.22771895559210525,0.7619050678453947,0.677392324264269,0.225797441421423,0.0,8,2.8936658385454432,0.9645552795151477,False
gmm,1,0,4,1.8940663261900519,0.9470331630950259,0.7618729440789473,0.34619140625,0.7638003700657895,0.6758074805739879,0.33790374028699394,0.0,4,1.8951027646420253,0.9475513823210127,False
gmm,2,0,8,2.895921261950296,0.9653070873167654,0.761461759868421,0.22730777138157895,0.7608064350328947,0.6754667454635034,0.2251555818211678,0.0,8,2.893864270233241,0.9646214234110803,False
kmeans,1,0,2,0.9310677274039911,0.9310677274039911,0.6866005345394737,0.65380859375,0.6847823293585527,0.6853129408039642,0.6853129408039642,0.0,2,0.9310677274039911,0.9310677274039911,False
kmeans,2,0,2,0.9310677274039911,0.9310677274039911,0.6866005345394737,0.65380859375,0.6847823293585527,0.6853129408039642,0.6853129408039642,0.0,2,0.9310677274039911,0.9310677274039911,False
kmeans,0,0,2,0.9310677274039911,0.9310677274039911,0.6865748355263158,0.6522152549342105,0.6847887541118421,0.6849699497607267,0.6849699497607267,0.0,2,0.9310677274039911,0.9310677274039911,False
gmm,0,0,2,0.9261811770601711,0.9261811770601711,0.6856753700657895,0.6556332236842105,0.68408203125,0.6579441307305768,0.6579441307305768,0.0,2,0.9277035920766208,0.9277035920766208,False
gmm,2,0,4,1.9927476682586376,0.9963738341293188,0.6811780427631579,0.29178659539473684,0.6822188527960527,0.8591119766457563,0.42955598832287817,0.0,4,1.992463275810623,0.9962316379053116,False
